Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,Fluo 0.04 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
543.03125,0.008899374865,,,543.03125,0.005055537913,543.03125,0.003718812484,543.03125,0.002855633618,
541.9800415,0.009226363152,,,541.9800415,0.005376105662,541.9800415,0.004229221959,541.9800415,0.003284165636,
540.9285278,0.009700406343,,,540.9285278,0.005643435288,540.9285278,0.004347230308,540.9285278,0.003299111035,
540.0269775,0.01029558294,,,540.0269775,0.006244497839,540.0269775,0.004864688031,540.0269775,0.003616165835,
538.9750366,0.01114997361,,,538.9750366,0.006940442603,538.9750366,0.005292089656,538.9750366,0.003837910015,
538.0731201,0.01198782027,,,538.0731201,0.007534296252,538.0731201,0.005667090416,538.0731201,0.004129956011,
537.0206299,0.01280177105,,,537.0206299,0.008417601697,537.0206299,0.006287462544,537.0206299,0.004691113252,
535.9679565,0.01361182798,,,535.9679565,0.009146146476,535.9679565,0.006843395531,535.9679565,0.004986640066,
535.0654297,0.01535991486,,,535.0654297,0.01067694742,535.0654297,0.007780134678,535.0654297,0.005666250829,
534.012207,0.01683068089,,,534.012207,0.01179302204,534.012207,0.00893036928,534.012207,0.006256131455,
532.9588013,0.01895147748,,,532.9588013,0.01372626983,532.9588013,0.01042341813,532.9588013,0.007356991991,
532.0556641,0.02125467174,,,532.0556641,0.01561813988,532.0556641,0.01175602525,532.0556641,0.00819152873,
531.00177,0.02363795415,,,531.00177,0.01778923534,531.00177,0.01330797281,531.00177,0.009294932708,
529.9476318,0.02726041712,,,529.9476318,0.02075851336,529.9476318,0.01537855342,529.9476318,0.01084008534,
529.0438232,0.03034449555,,,529.0438232,0.02356492355,529.0438232,0.01776186377,529.0438232,0.0122321723,
527.9892578,0.0354151316,,,527.9892578,0.0279461164,527.9892578,0.02106985636,527.9892578,0.01430593804,
526.9343872,0.04132223129,,,526.9343872,0.03314266354,526.9343872,0.02480569854,526.9343872,0.01691009663,
526.0300293,0.04617236555,,,526.0300293,0.03707840666,526.0300293,0.02802151628,526.0300293,0.01891797595,
524.9746704,0.05313980952,,,524.9746704,0.04366323724,524.9746704,0.03287149221,524.9746704,0.02212650515,
524.0699463,0.0614974983,,,524.0699463,0.05031764507,524.0699463,0.03805492818,524.0699463,0.02549115382,
523.0141602,0.07340322435,,,523.0141602,0.06145705655,523.0141602,0.04614616558,523.0141602,0.03071482293,
521.9581299,0.08763961494,,,521.9581299,0.07340548933,521.9581299,0.05496680737,521.9581299,0.036631383,
521.0527344,0.1021549553,,,521.0527344,0.08575385064,521.0527344,0.06465815008,521.0527344,0.04307958856,
519.9962158,0.1200548038,,,519.9962158,0.1014755145,519.9962158,0.0765356645,519.9962158,0.05086352304,
518.9395142,0.1415780783,,,518.9395142,0.1208059713,518.9395142,0.09110613912,518.9395142,0.05990696326,
518.0335693,0.16418311,,,518.0335693,0.1412061006,518.0335693,0.1061343774,518.0335693,0.07045256346,
516.9763794,0.198344484,,,516.9763794,0.1712457687,516.9763794,0.1285520196,516.9763794,0.08485220373,
516.0700073,0.2320970148,,,516.0700073,0.1997656226,516.0700073,0.1504210383,516.0700073,0.09975781292,
515.0123291,0.2783290446,,,515.0123291,0.2399823219,515.0123291,0.1799027473,515.0123291,0.119041577,
513.9544678,0.3279129565,,,513.9544678,0.2845516205,513.9544678,0.2132941037,513.9544678,0.1411582232,
513.0475464,0.3744322956,,,513.0475464,0.3246249855,513.0475464,0.2434069365,513.0475464,0.1614161879,
511.9891663,0.4433025122,,,511.9891663,0.3860461116,511.9891663,0.2887792587,511.9891663,0.1924894005,
510.930603,0.5254871249,,,510.930603,0.4593744874,510.930603,0.344658494,510.930603,0.228448689,
510.0230713,0.6098989248,,,510.0230713,0.5306631923,510.0230713,0.399956286,510.0230713,0.264762193,
